Species,Region-Main,Region-Sub,EOO_sqKm,DEL3,DEL2,DEL1,IUCNStatus,DomatiaScoreTotal,InteractionCount,PlastPetLen,PlastLLen,PlastPULA,PlastVein,PlastLLob,Plasticity SLA,Average Plasticity,PlastTot,RankAICc,IUCNLowRes,Average Survey Score
canariensis,U,,213375.92,1,1,1,LC,3,NA,0.553520321,0.384700055,0.319889931,0.041699112,0.177945087,0.284930152,7.839432647,9.738363279,65.68562724,LC,4
corrugata,M,,548000,1,1,1,LC,7,NA,,NA,NA,NA,NA,NA,NA,NA,70.53989518,LC,
dalechampii,U,,446721.1941,1,1,1,DD,6,0,0.467455621,0.386792453,0.251135842,0.524606386,0.395415159,0.794721847,7.593541781,10.28447786,48.23308463,DD,2
delgadoana,M,,5322,1,1,1,EN,4,NA,,NA,NA,NA,NA,NA,NA,NA,98.87466553,THR,
fabri,U,,2358929,1,1,1,LC,4,0,,NA,NA,NA,NA,NA,NA,NA,32.76508475,LC,
faginea,U,,554883.38,1,1,1,LC,9,0,0.758454106,0.655844156,0.559930557,NA,0.771604906,0.668070731,5.57273535,9.758244711,46.78231745,LC,3
libani,U,,267645,1,1,1,LC,6,NA,,NA,NA,NA,NA,NA,NA,NA,85.1780315,LC,
pacifica,C,,1559.37,1,1,1,LC,3,0,0.432176656,0.36196319,0.421875513,0.440572849,0.44194035,0.193773688,6.913468725,9.207138472,62.75921845,LC,4
pontica,U,,15411,1,1,1,LC,7,0,,NA,NA,NA,NA,NA,NA,NA,65.55870347,LC,4
pyrenaica,U,,8195845,1,1,1,LC,4,0,0.736842105,0.439588689,0.302442113,0.573277181,0.341875331,0.274625271,9.642762429,12.08001127,61.92883475,LC,3
benthamii,M,,102326.32,2,1,1,NT,4,0,0.341563786,0.451612903,0.168254906,0.34434232,0.383142539,0.272217683,6.621500698,8.621435054,60.90144361,NT,3
inopina,E,,19347.78,2,2,1,EN,5,0,0.755274262,0.738853503,0.464857847,0.912208528,0.868036462,0.676574914,7.454254197,11.82588765,55.87499967,THR,5
petraea,U,,446660.5961,2,2,1,LC,6,0,0.714285714,0.333333333,0.629589982,0.663146694,0.456832254,0.217758485,5.680958192,8.489590214,46.50071502,LC,2.333333333
purulhana,M,,248579,2,2,2,LC,7,7,,NA,NA,NA,NA,NA,NA,NA,56.87835444,LC,
acerifolia,E,,38725.81,3,2,1,EN,4,0,0.30300807,0.359649123,0.486989577,0.774674719,0.453223543,0.597289489,7.441731529,10.09511487,60.33916445,THR,4.833333333
aliena,U,,155985.72,3,2,1,LC,7,0,0.280205656,0.212355212,0.365523782,0.666425382,0.434834591,0.823257999,6.177873261,8.728885092,57.14680204,LC,2
brandegeei,M,,3678.22,3,2,2,EN,8,NA,1,0.325,0.320350113,0.597594106,0.363890144,0.631884105,7.221164965,10.22617947,76.96365846,THR,4.75
iltisii,M,,254633.36,3,2,2,LC,5,0,0.337748344,0.23857868,0.350228298,0.625847874,0.450669722,0.697481541,7.265800904,9.791177211,84.16249118,LC,
macranthera,U,,496967,3,3,2,LC,5,0,0.481865285,0.483282675,0.594549376,0.767633071,0.598273503,0.673524687,5.899744996,9.329514025,50.44323212,LC,3
minima,E,,180512.67,3,3,2,LC,6,NA,0.238377844,0.296896711,0.359172867,0.437346551,0.255655999,0.514588088,6.719595363,8.639942871,56.74134817,LC,4.2
mongolica,U,,13652.64,3,3,1,LC,7,0,0.823899371,0.602996255,0.458240667,0.729891298,0.56000187,0.820540609,6.343904762,10.1695854,56.43124912,LC,2.5
myrtifolia,E,,173213.27,3,3,2,LC,6,8,0.882352941,0.407821229,0.636160759,0.71358402,0.427384666,0.157958541,11.54384049,14.48290329,74.29858246,LC,4.5
oglethorpensis,E,,23914.66,3,2,1,NT,4,0,0.595959596,0.423487544,0.529841313,0.759270756,0.502871155,0.730296865,6.597317006,9.882644634,59.43523681,NT,3.5
ajoensis,M,,175023.6,4,3,2,VU,7,NA,0.275362319,0.186440678,0.277895329,0.625802392,0.35342337,0.68284656,6.870961544,9.000353169,77.37199691,THR,
boyntonii,E,,3096.8,4,3,1,CR,7,NA,,NA,NA,NA,NA,NA,NA,NA,96.44847671,THR,4.5
chapmanii,E,,143540.15,4,4,2,LC,7,2,0.818181818,0.553191489,0.268744068,0.25823971,0.33412002,0.136755296,8.093946552,10.53905926,62.49878474,LC,3.333333333
cornelius-mulleri,C,,26766.55,4,2,2,LC,4,0,0.172413793,0.052631579,0.103561891,0.121436114,0.155346733,0.014365232,7.1068353,7.760501261,69.80058112,LC,4.25
crispifolia,M,,47961.99,4,4,3,NT,4,NA,,NA,NA,NA,NA,NA,NA,NA,94.10593683,NT,4
elliottii,E,,90692.04,4,3,2,LC,7,NA,0.545454545,0.378254211,0.222620214,0.168590095,0.193293082,0.387269326,7.323322688,9.243507149,80.14411548,LC,4.5
